"Дата","Цена","Откр.","Макс.","Мин.","Изм. %"
"23.04.2020","74,7727","75,9065","75,9072","74,2496","-1,49%"
"22.04.2020","75,9065","77,0694","77,5321","75,8369","-1,51%"
"21.04.2020","77,0694","75,5185","77,6155","75,5185","2,05%"
"20.04.2020","75,5185","73,9580","75,5185","73,9500","2,11%"
"17.04.2020","73,9580","74,1841","74,4009","73,6197","-0,30%"
"16.04.2020","74,1841","74,8437","75,0256","73,7651","-0,88%"
"15.04.2020","74,8437","72,9953","75,3448","72,9953","2,53%"
"14.04.2020","72,9953","73,6013","73,6100","72,7455","-0,82%"
"13.04.2020","73,6013","73,7523","73,7590","73,3943","-0,20%"
"10.04.2020","73,7523","74,2565","74,2826","73,1903","-0,68%"
"09.04.2020","74,2565","74,9406","74,9630","72,9216","-0,91%"
"08.04.2020","74,9406","75,5471","75,8866","74,9203","-0,80%"
"07.04.2020","75,5471","76,0059","76,0200","75,1935","-0,60%"
"06.04.2020","76,0059","76,4918","76,6555","75,9389","-0,64%"
"03.04.2020","76,4918","77,2349","77,5790","76,4902","-0,96%"
"02.04.2020","77,2349","78,7310","79,2056","77,2331","-1,90%"
"01.04.2020","78,7310","78,4426","79,3350","78,4426","0,37%"
"31.03.2020","78,4426","79,3378","79,3378","77,7503","-1,13%"
"30.03.2020","79,3378","78,8122","80,3847","78,8122","0,67%"
"27.03.2020","78,8122","77,4751","79,2870","77,4675","1,73%"
"26.03.2020","77,4751","78,2023","79,0233","77,0187","-0,93%"
"25.03.2020","78,2023","78,2965","79,3948","76,9845","-0,12%"
"24.03.2020","78,2965","79,5936","79,6000","78,1878","-1,63%"
"23.03.2020","79,5936","79,9236","81,2429","79,3858","-0,41%"
"20.03.2020","79,9236","79,1566","80,1497","77,4478","0,97%"
"19.03.2020","79,1566","80,8692","81,6615","78,6405","-2,12%"
"18.03.2020","80,8692","75,4362","80,8700","75,4362","7,20%"
"17.03.2020","75,4362","74,6596","75,4751","73,4589","1,04%"
"16.03.2020","74,6596","72,6133","75,3924","72,5975","2,82%"
"13.03.2020","72,6133","74,8742","74,9023","72,0689","-3,02%"
"12.03.2020","74,8742","72,9375","75,4268","72,9121","2,66%"
"11.03.2020","72,9375","71,3747","73,1420","71,1785","2,19%"
"10.03.2020","71,3747","68,5685","72,7925","68,5685","4,09%"
"06.03.2020","68,5685","67,6538","68,5893","67,3500","1,35%"
"05.03.2020","67,6538","66,2666","67,7243","66,0866","2,09%"
"04.03.2020","66,2666","65,9881","66,5286","65,5228","0,42%"
"03.03.2020","65,9881","66,4319","66,6332","65,3718","-0,67%"
"02.03.2020","66,4319","66,8806","67,3036","66,1185","-0,67%"
"28.02.2020","66,8806","66,0217","67,6272","66,0150","1,30%"
"27.02.2020","66,0217","65,4708","66,3953","65,4535","0,84%"
"26.02.2020","65,4708","65,3726","65,7071","64,9758","0,15%"
"25.02.2020","65,3726","64,0561","65,5840","64,0561","2,06%"
"21.02.2020","64,0561","64,2038","64,5556","63,9151","-0,23%"
"20.02.2020","64,2038","63,5710","64,2898","63,5710","1,00%"
"19.02.2020","63,5710","63,8115","63,8115","63,4626","-0,38%"
"18.02.2020","63,8115","63,4645","64,1482","63,4645","0,55%"
"17.02.2020","63,4645","63,5556","63,5625","63,2157","-0,14%"
"14.02.2020","63,5556","63,6413","63,6463","63,3913","-0,13%"
"13.02.2020","63,6413","63,2143","63,7693","63,2123","0,68%"
"12.02.2020","63,2143","63,3759","63,3760","62,9315","-0,25%"
"11.02.2020","63,3759","64,1332","64,1332","63,2510","-1,18%"
"10.02.2020","64,1332","64,1100","64,2930","63,6597","0,04%"
